date,SECO,S,NE,N,SIN
2013-01-01,29850,6552,7583,3564,47549
2013-01-02,36604,8364,8979,3806,57753
2013-01-03,37330,9471,9428,3903,60132
2013-01-04,37248,10107,9406,3931,60693
2013-01-05,35165,9369,8993,3843,57369
2013-01-06,32907,8115,8305,3742,53069
2013-01-07,39290,10534,9388,4033,63245
2013-01-08,41221,10822,9596,4006,65645
2013-01-09,40655,11062,9674,3979,65369
2013-01-10,38982,10948,9770,3925,63624
2013-01-11,36935,10790,9664,3894,61283
2013-01-12,33732,9574,9045,3816,56167
2013-01-13,30412,8407,8186,3664,50669
2013-01-14,36093,11093,9257,3948,60390
2013-01-15,36896,11682,9362,3973,61913
2013-01-16,37255,11548,9483,3917,62203
2013-01-17,37240,11951,9522,3979,62691
2013-01-18,37518,11898,9513,4019,62949
2013-01-19,35117,10124,8972,3939,58151
2013-01-20,30938,8548,8157,3708,51352
2013-01-21,35893,10945,9311,4091,60240
2013-01-22,36808,11445,9384,4154,61790
2013-01-23,37728,11709,9362,4125,62924
2013-01-24,38861,12170,9388,4096,64514
2013-01-25,39277,11789,9457,4057,64580
2013-01-26,36210,9979,9062,4008,59259
2013-01-27,31412,8480,8346,3847,52084
2013-01-28,36857,11406,9457,4158,61877
2013-01-29,37481,12089,9636,4154,63360
2013-01-30,37733,12234,9713,4169,63849
2013-01-31,38432,12623,9695,4189,64939
2013-02-01,38932,12904,9670,4168,65674
2013-02-02,36245,10941,9198,4040,60424
2013-02-03,32668,8846,8492,3840,53846
2013-02-04,37956,10930,9604,4146,62635
2013-02-05,38111,11517,9864,4122,63613
2013-02-06,38186,11607,9857,4132,63782
2013-02-07,38018,11405,9783,4056,63261
2013-02-08,38140,11351,9611,4102,63205
2013-02-09,34776,9917,9012,4013,57718
2013-02-10,31491,8456,8206,3873,52025
2013-02-11,34079,10298,8216,3931,56524
2013-02-12,34599,10366,8314,3848,57127
2013-02-13,39004,11678,9049,3908,63639
2013-02-14,41248,11985,9830,4026,67089
2013-02-15,41748,11742,9768,4155,67414
2013-02-16,38453,10481,9276,4047,62258
2013-02-17,34777,9077,8507,3897,56258
2013-02-18,41354,11661,9414,4186,66615
2013-02-19,41968,11892,9546,4099,67505
2013-02-20,42185,12061,9600,4095,67940
2013-02-21,42258,11699,9612,4134,67703
2013-02-22,42010,11579,9717,4210,67516
2013-02-23,37725,9953,9253,4165,61096
2013-02-24,33950,8841,8466,3920,55177
2013-02-25,40939,11715,9568,4143,66365
2013-02-26,42163,11511,9840,4196,67709
2013-02-27,41213,11270,10015,4209,66707
2013-02-28,40414,11430,9921,4259,66024
2013-03-01,39166,11824,9857,4234,65082
2013-03-02,35581,10343,9252,4096,59272
2013-03-03,32772,8966,8569,3961,54268
2013-03-04,40487,11451,9673,4237,65847
2013-03-05,41791,11232,9942,4390,67355
2013-03-06,41805,11126,10005,4400,67336
2013-03-07,42194,11375,9942,4286,67797
2013-03-08,42109,11676,9920,4308,68013
2013-03-09,38563,9801,9538,4230,62132
2013-03-10,34711,8130,8807,3966,55614
2013-03-11,41103,11104,10002,4300,66510
2013-03-12,42089,11269,10265,4412,68034
2013-03-13,42157,10864,10324,4411,67756
2013-03-14,40775,10662,10247,4378,66062
2013-03-15,40114,10695,10095,4367,65271
2013-03-16,37045,9422,9396,4137,60000
2013-03-17,33243,7828,8703,4091,53865
2013-03-18,37765,10194,9864,4357,62179
2013-03-19,37584,10592,9790,4308,62274
2013-03-20,37685,10659,9800,4173,62317
2013-03-21,38366,10638,9865,4250,63119
2013-03-22,39426,10803,9926,4282,64437
2013-03-23,36501,9418,9484,4234,59637
2013-03-24,32359,7809,8707,3980,52855
2013-03-25,38505,10529,9678,4247,62958
2013-03-26,39088,10980,10037,4331,64436
2013-03-27,38632,10938,10051,4326,63947
2013-03-28,37589,10755,9777,4273,62394
2013-03-29,31111,7887,8460,4000,51459
2013-03-30,32137,8406,8694,3977,53214
2013-03-31,30506,7866,8376,3832,50580
2013-04-01,38089,11042,9697,4302,63129
2013-04-02,39305,11320,10048,4367,65039
2013-04-03,38995,11367,10112,4365,64839
2013-04-04,39141,11333,10135,4362,64973
2013-04-05,39010,10620,10186,4318,64134
2013-04-06,36056,9171,9729,4183,59140
2013-04-07,32332,7932,9049,3992,53305
2013-04-08,37589,10600,10094,4261,62545
2013-04-09,38104,10885,10197,4315,63501
2013-04-10,37719,11017,10262,4223,63222
2013-04-11,38217,11103,10228,4198,63746
2013-04-12,39017,10959,10199,4256,64431
2013-04-13,36035,9101,9804,4194,59134
2013-04-14,30942,7543,9126,4005,51616
2013-04-15,35857,10131,10268,4384,60640
2013-04-16,36642,10399,10349,4336,61726
2013-04-17,36272,10588,10330,4307,61497
2013-04-18,36246,10649,10147,4269,61310
2013-04-19,36810,10673,9865,4247,61595
2013-04-20,33669,9153,9112,4127,56061
2013-04-21,29751,7663,8249,3942,49605
2013-04-22,35141,10151,9147,4218,58657
2013-04-23,35748,10684,9312,4288,60032
2013-04-24,36314,10793,9248,4357,60712
2013-04-25,36438,10830,9198,4336,60801
2013-04-26,36323,10852,9252,4274,60701
2013-04-27,33758,9348,8851,4201,56159
2013-04-28,29954,8077,8175,4001,50205
2013-04-29,36127,10308,9035,4351,59821
2013-04-30,37459,10693,9234,4366,61752
2013-05-01,32385,8469,8080,4037,52971
2013-05-02,37102,10834,9210,4325,61470
2013-05-03,37787,10992,9300,4313,62392
2013-05-04,34822,9208,8860,4186,57076
2013-05-05,31041,7633,8155,3984,50813
2013-05-06,35902,9799,9144,4352,59197
2013-05-07,36087,10092,9576,4362,60117
2013-05-08,35709,10320,9722,4344,60094
2013-05-09,35860,10377,9693,4276,60206
2013-05-10,36150,10305,9531,4219,60205
2013-05-11,33334,8868,8929,4100,55231
2013-05-12,29460,7416,8198,3925,48998
2013-05-13,35889,10221,9256,4340,59707
2013-05-14,37138,10705,9516,4365,61724
2013-05-15,37898,10724,9375,4284,62280
2013-05-16,38111,10482,9504,4232,62329
2013-05-17,36721,10420,9417,4389,60946
2013-05-18,33072,9060,8836,4208,55176
2013-05-19,29258,7778,8084,3944,49065
2013-05-20,35512,10098,9084,4243,58937
2013-05-21,36747,10393,9364,4286,60789
2013-05-22,36842,10588,9464,4262,61156
2013-05-23,36494,10658,9555,4276,60983
2013-05-24,35761,10707,9621,4253,60342
2013-05-25,32560,9425,9067,4107,55159
2013-05-26,28620,7720,8196,3898,48435
2013-05-27,34765,10369,9056,4205,58395
2013-05-28,36695,10838,9398,4264,61196
2013-05-29,37193,10525,9552,4322,61593
2013-05-30,32815,8517,8893,4117,54342
2013-05-31,34162,9426,9386,4273,57247
2013-06-01,32086,8629,8881,4225,53821
2013-06-02,29471,7345,8345,3899,49061
