Aeroporto,NumeroDeReparos,AeronavesReparadas,NumeroDeAeronavesReparadas,TempoManutencao_Q25,TempoManutencao_Media,TempoManutencao_Q75,HrsVoadasAteReparo_Q25,HrsVoadasAteReparo_Media,HrsVoadasAteReparo_Q75,DiasAteProximoReparo_Q25,DiasAteProximoReparo_Media,DiasAteProximoReparo_Q75,Cidade,NomeAeroporto,Latitude,Longitude,Elevacao,CodigoPais
BSB,31,"['GED' 'GEK' 'GFB' 'GFE' 'GGM' 'GGT' 'GGX' 'GTG' 'GTJ' 'GTL' 'GTM' 'GUA'
 'GUH' 'GUL' 'GUN' 'GUR' 'GUX' 'GUZ' 'GXT' 'GZS' 'VBG' 'VBU' 'XMB' 'XMM']",24,4.25,8.564516129032258,12.75,155.625,1009.3787096774204,1653.2100000000005,29.0,146.51612903225808,203.0,Brasilia,Brasilia Aeroporto,-15.8711,-47.91862,1060.0,BR
CGB,1,['VBK'],1,18.45,18.45,18.45,2217.0,2217.0,2217.0,224.0,224.0,224.0,Cuiaba,Aeroporto Internacional Marechal Rondon,-15.65293,-56.11672,188.0,BR
CGH,358,"['GEA' 'GEC' 'GEE' 'GEH' 'GEI' 'GEJ' 'GEK' 'GFA' 'GFB' 'GFC' 'GFD' 'GFE'
 'GGB' 'GGE' 'GGF' 'GGG' 'GGH' 'GGJ' 'GGK' 'GGL' 'GGM' 'GGN' 'GGO' 'GGP'
 'GGQ' 'GGR' 'GGT' 'GGU' 'GGV' 'GGW' 'GGX' 'GGY' 'GGZ' 'GIH' 'GIJ' 'GIM'
 'GIN' 'GOG' 'GOM' 'GON' 'GOQ' 'GOR' 'GOV' 'GOW' 'GTA' 'GTB' 'GTC' 'GTE'
 'GTG' 'GTH' 'GTI' 'GTJ' 'GTK' 'GTL' 'GTM' 'GTN' 'GTR' 'GTT' 'GTU' 'GTV'
 'GTY' 'GUA' 'GUB' 'GUC' 'GUD' 'GUE' 'GUF' 'GUG' 'GUH' 'GUI' 'GUK' 'GUL'
 'GUM' 'GUN' 'GUR' 'GUT' 'GUU' 'GUV' 'GUX' 'GUY' 'GUZ' 'GXA' 'GXB' 'GXC'
 'GXD' 'GXE' 'GXF' 'GXH' 'GXI' 'GXJ' 'GXL' 'GXM' 'GXN' 'GXP' 'GXQ' 'GXT'
 'GXU' 'GXV' 'GXW' 'GXX' 'GYA' 'GYD' 'VBF' 'VBG' 'VBH' 'VBI' 'VBK' 'VBM'
 'VBN' 'VBO' 'VBP' 'VBQ' 'VBU' 'VBV' 'VBW' 'VBX' 'VBY' 'VBZ' 'XME' 'XMF'
 'XMP']",121,6.0,9.404469273743016,11.75,260.6575000000012,1233.9363687150835,2094.667499999996,31.0,158.06983240223462,243.75,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR
CNF,315,"['GEC' 'GED' 'GEE' 'GEH' 'GEJ' 'GEK' 'GFA' 'GFB' 'GFC' 'GFD' 'GFE' 'GGB'
 'GGE' 'GGF' 'GGG' 'GGH' 'GGJ' 'GGK' 'GGL' 'GGM' 'GGN' 'GGO' 'GGP' 'GGQ'
 'GGR' 'GGU' 'GGV' 'GGW' 'GGX' 'GGY' 'GGZ' 'GIG' 'GIH' 'GII' 'GIM' 'GIN'
 'GIT' 'GIU' 'GIV' 'GIW' 'GIX' 'GOH' 'GOM' 'GON' 'GOP' 'GOR' 'GOW' 'GOX'
 'GPD' 'GPF' 'GTA' 'GTB' 'GTC' 'GTE' 'GTG' 'GTH' 'GTI' 'GTJ' 'GTK' 'GTL'
 'GTM' 'GTN' 'GTR' 'GTT' 'GTU' 'GTV' 'GTZ' 'GUA' 'GUB' 'GUC' 'GUG' 'GUI'
 'GUK' 'GUL' 'GUM' 'GUN' 'GUP' 'GUQ' 'GUT' 'GUU' 'GUV' 'GUY' 'GXC' 'GXD'
 'GXF' 'GXH' 'GXL' 'GXN' 'GXQ' 'GXU' 'GYA' 'GYD' 'GZE' 'GZH' 'GZI' 'GZU'
 'GZZ' 'VBF' 'VBG' 'VBH' 'VBI' 'VBK' 'VBL' 'VBM' 'VBN' 'VBO' 'VBQ' 'VBU'
 'VBV' 'VBW' 'VBX' 'VBY' 'VBZ' 'XMA' 'XMC' 'XMD' 'XME' 'XMO']",118,6.095,11.987079365079364,18.27,207.45499999999996,1184.1070793650792,2151.100000000002,32.0,150.23492063492063,235.5,Confins,Aeroporto de Confins,-19.63375,-43.96886,827.0,BR
CWB,102,"['GEA' 'GEC' 'GEI' 'GEJ' 'GEK' 'GFA' 'GFC' 'GFD' 'GFE' 'GGE' 'GGF' 'GGG'
 'GGJ' 'GGK' 'GGM' 'GGN' 'GGP' 'GGT' 'GGU' 'GGV' 'GGW' 'GGX' 'GGY' 'GIH'
 'GIT' 'GOG' 'GOR' 'GTC' 'GTE' 'GTH' 'GTI' 'GTK' 'GTL' 'GTN' 'GTR' 'GTT'
 'GTV' 'GTY' 'GTZ' 'GUA' 'GUB' 'GUC' 'GUF' 'GUI' 'GUJ' 'GUN' 'GUP' 'GUQ'
 'GUU' 'GXI' 'GXT' 'GXW' 'GXX' 'GYA' 'GYD' 'GZK' 'GZW' 'VBF' 'VBG' 'VBH'
 'VBK' 'VBN' 'VBO' 'VBQ' 'VBV' 'VBW' 'VBX' 'VBZ']",68,5.0,8.573333333333334,8.0,217.58249999999865,1185.3558823529413,2075.0499999999997,27.0,157.14705882352942,250.75,Curitiba,Curitiba Airport,-25.52848,-49.17578,910.0,BR
FLN,97,"['GEE' 'GEI' 'GEJ' 'GFA' 'GFB' 'GFD' 'GGE' 'GGF' 'GGG' 'GGH' 'GGJ' 'GGO'
 'GGP' 'GGQ' 'GGR' 'GGT' 'GGU' 'GGW' 'GGZ' 'GIF' 'GIJ' 'GIR' 'GOI' 'GON'
 'GOQ' 'GOR' 'GOV' 'GOW' 'GTB' 'GTE' 'GTH' 'GTI' 'GTJ' 'GTM' 'GTR' 'GTV'
 'GUB' 'GUC' 'GUD' 'GUE' 'GUJ' 'GUL' 'GUP' 'GUV' 'GUZ' 'GXA' 'GXU' 'GXX'
 'VBF' 'VBG' 'VBH' 'VBI' 'VBL' 'VBM' 'VBP' 'VBV' 'VBY' 'VBZ' 'XMQ']",59,6.17,10.66639175257732,18.3,236.96999999999755,1079.902164948453,2044.0,25.0,141.16494845360825,228.0,Florianopolis,Aeroporto Hercílio Luz,-27.66665,-48.55047,6.0,BR
FOR,1,['GTJ'],1,7.0,7.0,7.0,109.2699999999968,109.2699999999968,109.2699999999968,12.0,12.0,12.0,Fortaleza,Aeroporto Internacional de Fortaleza,-3.77628,-38.53256,24.0,BR
GIG,95,"['GEA' 'GEH' 'GEJ' 'GFB' 'GFE' 'GGA' 'GGB' 'GGE' 'GGH' 'GGJ' 'GGK' 'GGL'
 'GGO' 'GGP' 'GGU' 'GGV' 'GGW' 'GGX' 'GGZ' 'GIK' 'GIP' 'GOI' 'GOP' 'GOQ'
 'GOR' 'GOW' 'GOX' 'GTA' 'GTB' 'GTC' 'GTH' 'GTL' 'GTT' 'GTU' 'GTV' 'GUA'
 'GUD' 'GUG' 'GUI' 'GUJ' 'GUM' 'GUP' 'GUR' 'GUV' 'GUX' 'GUZ' 'GXA' 'GXD'
 'GXI' 'GZK' 'GZU' 'GZW' 'VBF' 'VBG' 'VBI' 'VBK' 'VBL' 'VBM' 'VBN' 'VBU'
 'VBX' 'XMG' 'XMH' 'XMN' 'XMX']",65,5.5,10.153368421052631,18.11,131.5,1203.3343157894735,2007.8749999999984,16.5,165.21052631578948,253.5,Rio de Janeiro,Aeroporto Internacional Rio de Janeiro-Galeão,-22.79865,-43.23077,8.0,BR
GRU,158,"['GEE' 'GEI' 'GEJ' 'GEU' 'GFA' 'GFB' 'GFC' 'GFE' 'GGB' 'GGE' 'GGF' 'GGG'
 'GGK' 'GGN' 'GGO' 'GGQ' 'GGV' 'GGZ' 'GIT' 'GIU' 'GIV' 'GIX' 'GOH' 'GOM'
 'GOP' 'GOT' 'GOX' 'GPM' 'GTA' 'GTB' 'GTC' 'GTE' 'GTH' 'GTJ' 'GTK' 'GTL'
 'GTM' 'GTN' 'GTR' 'GTT' 'GTU' 'GTV' 'GTZ' 'GUA' 'GUB' 'GUC' 'GUG' 'GUH'
 'GUJ' 'GUK' 'GUM' 'GUN' 'GUP' 'GUT' 'GUX' 'GXA' 'GXC' 'GXD' 'GXL' 'GXM'
 'GXW' 'GZF' 'GZH' 'GZI' 'GZK' 'GZW' 'VBF' 'VBG' 'VBH' 'VBJ' 'VBK' 'VBL'
 'VBM' 'VBU' 'VBW']",75,7.0,10.784303797468356,18.26,380.9925000000003,1201.344936708861,1942.4775000000009,40.5,149.7405063291139,233.5,Guarulhos,Aeroporto Internacional de Guarulhos,-23.43057,-46.48101,749.0,BR
IGU,2,['GIF' 'GTG'],2,18.2575,18.295,18.3325,505.25,975.5,1445.75,65.25,127.5,189.75,Foz do Iguacu,Aeroporto Internacional de Foz do Iguaçu / Cataratas,-25.59615,-54.48721,239.0,BR
