Aircraft,TAH,TAC,TimeInHours,Tabela,DataReparo,HorasVoadasAteProximoReparo,DiasAteProximoReparo,Aeroporto,Cidade,NomeAeroporto,Latitude,Longitude,Elevacao,CodigoPais,TemperaturaMaxima,TemperaturaMinima,TemperaturaMedia,SomaPrecipitacao,SomaChuva,VelocidadeMaximaVento
GEA,16045.0,13061,18.1,G-56-004,2014-04-03,1959.0,244,POA,Porto Alegre,Aeroporto Internacional de Porto Alegre,-29.99443,-51.17143,3.0,BR,27.6,20.5,23.4,0.0,0.0,21.6
GEA,18004.0,14761,18.1,G-56-004,2014-12-03,1912.0,233,GIG,Rio de Janeiro,Aeroporto Internacional Rio de Janeiro-Galeão,-22.79865,-43.23077,8.0,BR,32.7,20.7,26.9,0.0,0.0,18.4
GEA,19916.0,16436,18.1,G-56-004,2015-07-24,630.0,85,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,19.5,16.4,17.5,24.2,24.2,12.1
GEA,20546.0,17075,18.1,G-56-004,2015-10-17,3754.0499999999993,477,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,24.4,16.3,19.8,1.5,1.5,20.1
GEA,24300.05,20226,6.57,G-56-004,2017-02-05,52.13000000000102,6,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,27.5,18.5,23.1,1.6,1.6,13.5
GEA,24352.18,20267,7.0,G-56-004,2017-02-11,2315.239999999998,307,CWB,Curitiba,Curitiba Airport,-25.52848,-49.17578,910.0,BR,24.5,18.1,20.9,4.0,4.0,18.8
GEA,26667.42,22234,6.5,G-56-004,2017-12-15,93.7300000000032,12,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,29.6,21.9,24.6,0.0,0.0,13.4
GEA,26761.15,22317,6.0,G-56-004,2017-12-27,4527.18,546,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,26.0,20.0,22.2,1.7,1.7,17.0
GEA,31288.33,25955,5.83,G-56-004,2019-06-26,32.68999999999869,3,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,21.0,16.6,19.0,15.9,15.9,19.2
GEA,31321.02,25976,5.0,G-56-004,2019-06-29,2397.829999999998,250,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,28.4,18.6,23.0,0.0,0.0,8.2
GEA,33718.85,27632,3.5,G-56-004,2020-03-05,47.950000000004366,5,CWB,Curitiba,Curitiba Airport,-25.52848,-49.17578,910.0,BR,21.2,14.6,17.5,1.4,1.4,18.6
GEA,33766.8,27669,7.0,G-56-004,2020-03-10,2462.1800000000003,600,MGF,Maringa,Aeroporto Regional de Maringá - Sílvio Name Júnior,-23.47639,-52.01641,544.0,BR,31.5,17.3,24.9,0.0,0.0,11.5
GEA,36228.98,29274,8.5,G-56-004,2021-10-31,1.4399999999950523,1,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,21.0,16.0,17.9,9.8,9.8,18.2
GEA,36230.42,29276,6.75,G-56-004,2021-11-01,1237.1100000000006,299,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,22.2,16.4,18.6,3.3,3.3,22.4
GEA,37467.53,30145,7.25,G-56-004,2022-08-27,2143.8199999999997,270,POA,Porto Alegre,Aeroporto Internacional de Porto Alegre,-29.99443,-51.17143,3.0,BR,29.9,14.3,21.6,0.0,0.0,21.4
GEC,23598.43,20210,6.5,G-56-004,2019-02-07,78.75,8,VIX,Vitoria,Aeroporto de Vitória,-20.25806,-40.28639,3.0,BR,30.5,24.0,26.4,8.7,8.7,22.0
GEC,23677.18,20274,5.83,G-56-004,2019-02-15,19.93999999999869,2,CWB,Curitiba,Curitiba Airport,-25.52848,-49.17578,910.0,BR,19.4,14.9,16.8,28.7,28.7,25.1
GEC,23697.12,20288,7.5,G-56-004,2019-02-17,129.47999999999956,24,CNF,Confins,Aeroporto de Confins,-19.63375,-43.96886,827.0,BR,26.7,19.4,21.8,15.8,15.8,12.8
GEC,23826.6,20390,2.5,G-56-004,2019-03-13,3526.75,451,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,30.0,23.7,26.3,5.8,5.8,13.7
GEC,27353.35,22898,7.0,G-56-004,2020-06-06,79.83000000000175,27,CNF,Confins,Aeroporto de Confins,-19.63375,-43.96886,827.0,BR,24.5,12.5,18.4,0.0,0.0,10.0
GEC,27433.18,22983,7.0,G-56-004,2020-07-03,2870.2999999999993,646,CGH,Sao Paulo,Aeroporto de Congonhas,-23.62754,-46.65597,801.0,BR,16.3,9.5,12.1,0.0,0.0,19.9
GEC,30303.48,24974,6.52,G-56-004,2022-04-10,568.8199999999997,81,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,27.4,20.7,23.5,2.8,2.8,12.5
GEC,30872.3,25399,4.08,G-56-004,2022-06-30,1748.880000000001,225,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,19.8,13.2,15.9,0.0,0.0,8.0
GED,22718.52,19220,4.65,G-56-004,2019-02-12,0.0,0,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,31.7,23.2,26.9,9.8,9.8,20.6
GED,22718.52,19220,4.7,G-56-004,2019-02-12,2312.2999999999993,256,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,31.7,23.2,26.9,9.8,9.8,20.6
GED,25030.82,20962,8.0,G-56-004,2019-10-26,45.0,5,REC,Recife,Aeroporto Internacional do Recife/Guararapes-Gilberto Freyre,-8.12679,-34.92304,10.0,BR,28.1,23.6,25.7,3.3,3.3,18.9
GED,25075.82,20993,2.5,G-56-004,2019-10-31,2243.6100000000006,432,MGF,Maringa,Aeroporto Regional de Maringá - Sílvio Name Júnior,-23.47639,-52.01641,544.0,BR,34.9,23.4,28.3,1.0,1.0,21.3
GED,27319.43,22636,5.0,G-56-004,2021-01-05,988.6399999999994,179,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,29.7,22.0,25.0,12.4,12.4,13.1
GED,28308.07,23305,7.28,G-56-004,2021-07-03,1516.0299999999988,203,SDU,Rio de Janeiro,Aeroporto Santos Dumont,-25.5402,-48.53116,5.0,BR,20.5,12.4,15.6,0.0,0.0,12.8
GED,29824.1,24453,7.23,G-56-004,2022-01-22,887.8500000000022,116,BSB,Brasilia,Brasilia Aeroporto,-15.8711,-47.91862,1060.0,BR,27.1,18.0,23.1,0.7,0.7,12.8
