title,price,date,destaque,categoria,tipo,condominio,area_util,quartos,banheiros,vagas_na_garagem,iptu,zona,academia,elevador,permitido_animais,piscina,portaria,salao_de_festas,condominio_fechado,seguranca_24h,portao_eletronico,area_murada,area_de_servico,armarios_na_cozinha,armarios_no_quarto,churrasqueira,mobiliado,quarto_de_servico,ar_condicionado,porteiro_24h,varanda
Apartamento MOBILIADO com ÓTIMA Localização Água Branca,350000,25/04/2024,True,Apartamentos,Padrão,380,43,2,1,0,0,OESTE,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False
"Apartamento 115.000,00",115000,24/04/2024,True,Apartamentos,Padrão,150,50,2,1,1,0,OESTE,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
Casa de condomínio sobrado para venda com 97 metros quadrados com 3 quartos,570000,25/04/2024,False,Casas,Casa de condomínio,320,97,3,3,2,19,OESTE,False,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False,True,True,False
"Cobertura com 3 dormitórios (1 suíte) á venda, 163 metros e 3 vagas - Alto da Lapa - São P",2250000,25/04/2024,False,Apartamentos,Cobertura,1790,163,3,4,3,616,OESTE,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,820000,25/04/2024,False,Casas,Padrão,0,167,3,3,4,0,OESTE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento para venda possui 143 metros quadrados com 3 quartos em Higienópolis - São Pau,1500000,25/04/2024,False,Apartamentos,Padrão,2436,143,3,2,1,621,OESTE,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento 2 dormitórios próximo ao Parque Buenos Aires,1400000,25/04/2024,False,Apartamentos,Padrão,1431,120,2,2,0,169,OESTE,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,800000,25/04/2024,False,Casas,Padrão,0,167,3,3,4,530,OESTE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Casa para venda com 70 m² com 2 quartos em Vila Romana - São Paulo - SP,600000,25/04/2024,False,Casas,Padrão,0,70,2,2,0,0,OESTE,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASA TERREA  NO JARDIM BONFIGLIOLI COM 3 DORMITORIOS .FL18,780000,25/04/2024,False,Casas,Padrão,0,167,3,3,4,530,OESTE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento de 80m² com 3 quartos em Pirituba,350000,25/04/2024,False,Apartamentos,Cobertura,500,80,3,1,1,12,OESTE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sobrado para venda com 150 metros quadrados com 3 quartos em Jardim Trussardi - São Paulo ,760000,25/04/2024,False,Casas,Padrão,0,150,3,4,4,260,OESTE,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Apartamento p/ Reforma - Excelente Ocasião p/ Compra,1050000,25/04/2024,False,Apartamentos,Padrão,1100,109,3,3,1,0,OESTE,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apartamento a venda no Alto da Lapa,950000,25/04/2024,False,Apartamentos,Padrão,1200,92,3,2,2,450,OESTE,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
"Apartamento para Venda em São Paulo, Butanta, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",480000,25/04/2024,False,Apartamentos,Padrão,980,74,3,2,2,95,OESTE,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
Ótimo apartamento mobiliado à Venda na Vila Madalena/Sumaré,630000,25/04/2024,False,Apartamentos,Padrão,405,30,1,1,0,97,OESTE,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False
Apartamento para venda tem 32 metros quadrados com 2 quartos em Barra Funda - São Paulo - ,231717,25/04/2024,False,Apartamentos,Padrão,0,32,2,1,0,0,OESTE,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False
