DATE,HOUST
1980-01-01,1340
1980-02-01,1351
1980-03-01,1046
1980-04-01,1050
1980-05-01,926
1980-06-01,1197
1980-07-01,1268
1980-08-01,1435
1980-09-01,1470
1980-10-01,1524
1980-11-01,1509
1980-12-01,1481
1981-01-01,1546
1981-02-01,1245
1981-03-01,1307
1981-04-01,1359
1981-05-01,1141
1981-06-01,1046
1981-07-01,1042
1981-08-01,939
1981-09-01,912
1981-10-01,872
1981-11-01,838
1981-12-01,911
1982-01-01,844
1982-02-01,867
1982-03-01,932
1982-04-01,918
1982-05-01,1026
1982-06-01,903
1982-07-01,1165
1982-08-01,1045
1982-09-01,1145
1982-10-01,1174
1982-11-01,1373
1982-12-01,1302
1983-01-01,1587
1983-02-01,1698
1983-03-01,1605
1983-04-01,1471
1983-05-01,1775
1983-06-01,1732
1983-07-01,1786
1983-08-01,1911
1983-09-01,1711
1983-10-01,1716
1983-11-01,1786
1983-12-01,1687
1984-01-01,1898
1984-02-01,2261
1984-03-01,1662
1984-04-01,1852
1984-05-01,1773
1984-06-01,1844
1984-07-01,1731
1984-08-01,1587
1984-09-01,1699
1984-10-01,1589
1984-11-01,1688
1984-12-01,1611
1985-01-01,1710
1985-02-01,1631
1985-03-01,1799
1985-04-01,1820
1985-05-01,1679
1985-06-01,1677
1985-07-01,1685
1985-08-01,1742
1985-09-01,1677
1985-10-01,1835
1985-11-01,1699
1985-12-01,1943
1986-01-01,1971
1986-02-01,1849
1986-03-01,1875
1986-04-01,1934
1986-05-01,1855
1986-06-01,1848
1986-07-01,1781
1986-08-01,1808
1986-09-01,1686
1986-10-01,1682
1986-11-01,1622
1986-12-01,1834
1987-01-01,1773
1987-02-01,1783
1987-03-01,1727
1987-04-01,1613
1987-05-01,1629
1987-06-01,1595
1987-07-01,1576
1987-08-01,1606
1987-09-01,1696
1987-10-01,1516
1987-11-01,1657
1987-12-01,1401
1988-01-01,1272
1988-02-01,1474
1988-03-01,1533
1988-04-01,1572
1988-05-01,1420
1988-06-01,1479
1988-07-01,1468
1988-08-01,1494
1988-09-01,1493
1988-10-01,1523
1988-11-01,1570
1988-12-01,1564
1989-01-01,1622
1989-02-01,1424
1989-03-01,1423
1989-04-01,1338
1989-05-01,1332
1989-06-01,1398
1989-07-01,1426
1989-08-01,1333
1989-09-01,1278
1989-10-01,1411
1989-11-01,1352
1989-12-01,1250
1990-01-01,1552
1990-02-01,1436
1990-03-01,1290
1990-04-01,1247
1990-05-01,1211
1990-06-01,1178
1990-07-01,1172
1990-08-01,1114
1990-09-01,1111
1990-10-01,1015
1990-11-01,1146
1990-12-01,968
1991-01-01,797
1991-02-01,964
1991-03-01,920
1991-04-01,1000
1991-05-01,995
1991-06-01,1035
1991-07-01,1062
1991-08-01,1048
1991-09-01,1016
1991-10-01,1078
1991-11-01,1104
1991-12-01,1080
1992-01-01,1177
1992-02-01,1249
1992-03-01,1296
1992-04-01,1098
1992-05-01,1213
1992-06-01,1146
1992-07-01,1138
1992-08-01,1225
1992-09-01,1185
1992-10-01,1243
