A/C,TAH/Start,TAH/Diff,TAC/Start,TAC/Diff,Oper.Days,Av.Hours/Day,Av.Cycles/Day,Av.Length/Cycle,Rev.Hours,Rev.Cycles
YBD,47724.55,0.95,23945,1,1,0.95,"1,0",0.95,0.95,1
GPA,0.0,5942.62,0,3182,606,9.8,"5,3",1.87,5905.15,3162
GPB,0.0,5997.18,0,3190,601,9.98,"5,3",1.88,5965.02,3171
GPC,0.0,5918.72,0,3161,603,9.82,"5,2",1.87,5881.58,3143
GPD,0.0,5784.63,0,3441,330,17.53,"10,4",1.6800000000000002,5769.0,3429
GPE,0.0,6824.53,0,3989,504,13.53,"7,9",1.72,6809.55,3977
GPF,0.0,5787.43,0,3126,415,13.95,"7,5",1.85,5761.17,3107
GPG,0.0,5917.12,0,3449,498,11.88,"6,9",1.72,5895.73,3435
GPH,0.0,3396.38,0,1735,326,10.42,"5,3",1.95,3355.0,1712
GPI,0.0,4999.35,0,2641,501,9.98,"5,3",1.9,4956.57,2623
GPJ,0.0,5299.23,0,2772,540,9.82,"5,1",1.92,5259.4,2748
GPK,0.0,3809.48,0,1961,369,10.32,"5,3",1.95,3766.13,1938
GPL,0.0,3792.53,0,1996,380,9.98,"5,3",1.9,3742.37,1965
GPM,0.0,4777.53,0,2620,500,9.55,"5,2",1.8199999999999998,4736.25,2600
GPN,0.0,4822.05,0,2552,477,10.12,"5,4",1.88,4791.17,2536
XMA,0.0,12116.45,0,5212,1166,10.38,"4,5",2.32,12038.73,5170
XMB,0.0,11343.13,0,4894,1091,10.4,"4,5",2.32,11253.32,4855
XMC,0.0,11307.58,0,5022,1086,10.42,"4,6",2.25,11233.42,4984
XMD,0.0,10457.97,0,4583,1021,10.25,"4,5",2.2800000000000002,10413.42,4560
XME,0.0,11189.42,0,4783,1063,10.53,"4,5",2.33,11128.32,4756
XMF,0.0,10240.75,0,4589,982,10.43,"4,7",2.23,10161.58,4559
XMG,0.0,9639.47,0,4464,954,10.1,"4,7",2.17,9560.88,4436
XMH,0.0,5876.5,0,2345,538,10.92,"4,4",2.5,5835.62,2327
XMI,0.0,5679.02,0,2511,542,10.48,"4,6",2.27,5631.58,2487
XMJ,0.0,6218.3,0,3214,613,10.15,"5,2",1.9300000000000002,6177.5,3191
XMK,0.0,4882.03,0,2091,443,11.02,"4,7",2.33,4829.57,2062
XML,0.0,5364.63,0,2275,496,10.82,"4,6",2.35,5313.67,2248
XMM,0.0,8971.93,0,4290,876,10.25,"4,9",2.08,8935.38,4265
XMN,0.0,7492.65,0,3476,719,10.42,"4,8",2.15,7443.2,3451
XMO,0.0,7912.22,0,3813,765,10.35,"5,0",2.08,7865.92,3788
XMP,0.0,8245.08,0,3800,770,10.7,"4,9",2.17,8155.33,3766
XMQ,0.0,7957.73,0,3441,733,10.85,"4,7",2.32,7902.65,3408
XMR,0.0,7662.35,0,3146,701,10.93,"4,5",2.43,7605.68,3109
XMS,0.0,2299.62,0,1133,215,10.7,"5,3",2.03,2258.12,1121
XMT,0.0,7003.43,0,3280,663,10.57,"4,9",2.13,6952.43,3257
XMU,0.0,6807.55,0,3234,644,10.57,"5,0",2.1,6763.47,3215
XMV,0.0,6563.32,0,2882,599,10.95,"4,8",2.2800000000000002,6522.5,2862
XMW,0.0,6667.62,0,3120,636,10.48,"4,9",2.13,6635.98,3107
XMX,0.0,5934.47,0,2792,568,10.45,"4,9",2.13,5891.55,2772
AZW,34591.0,0.0,36943,0,0,0.0,"0,0",0.0,0.0,0
AZX,35765.87,0.0,42428,0,0,0.0,"0,0",0.0,0.0,0
AZY,36152.97,0.0,44034,0,0,0.0,"0,0",0.0,0.0,0
SDL,0.0,52662.0,0,36941,1,52662.0,"36941,0",1.43,52662.0,36941
SDV,0.0,7.0,4,1,1,7.0,"1,0",7.0,7.0,1
WJA,62127.2,2.55,43876,1,1,2.55,"1,0",2.55,2.55,1
WJB,58706.45,0.0,47013,0,0,0.0,"0,0",0.0,0.0,0
WJD,62431.0,0.0,46818,0,0,0.0,"0,0",0.0,0.0,0
WJF,66139.0,833.45,47753,712,1,833.45,"712,0",1.17,833.45,712
WJI,61255.82,0.68,47098,1,1,0.68,"1,0",0.68,0.68,1
WJJ,66381.57,0.68,50320,1,1,0.68,"1,0",0.68,0.68,1
WJK,0.0,61021.0,0,37403,1,61021.0,"37403,0",1.63,61021.0,37403
WJM,48289.0,0.0,28732,0,0,0.0,"0,0",0.0,0.0,0
WJN,39432.83,0.0,26624,0,0,0.0,"0,0",0.0,0.0,0
WJP,45043.0,0.0,24674,0,0,0.0,"0,0",0.0,0.0,0
WJS,46597.0,0.0,47335,0,0,0.0,"0,0",0.0,0.0,0
WJU,42763.0,0.0,27603,0,0,0.0,"0,0",0.0,0.0,0
WJV,36150.0,0.0,31989,0,0,0.0,"0,0",0.0,0.0,0
WJX,54704.0,0.0,37755,0,0,0.0,"0,0",0.0,0.0,0
CGA,21215.95,19.43,14926,4,2,9.72,"2,0",4.87,0.0,0
GEA,12050.22,28197.23,9688,22589,3446,8.18,"6,6",1.25,28084.65,22473
GEC,5612.02,28407.58,4509,23417,3517,8.08,"6,7",1.22,28308.4,23328
GED,4419.85,29763.25,3501,24350,3683,8.08,"6,6",1.22,29632.75,24223
GEE,31107.67,25530.65,22514,20808,3123,8.18,"6,7",1.23,25419.85,20711
GEH,21609.5,19801.87,19096,15813,2479,7.98,"6,4",1.25,19726.22,15747
GEI,21186.4,19321.93,18534,15417,2428,7.95,"6,3",1.25,19227.9,15335
