ocean_variation,year,month_name
-0.2601415236894752,1974,January
-0.3273012285139473,1974,February
-0.3306921687165982,1974,March
-0.3505716174897131,1974,April
-0.4134985284648124,1974,May
-0.5029276519981067,1974,June
-0.6103204053209496,1974,July
-0.7237053126690413,1974,August
-0.7970780719874966,1974,September
-0.8952183517704768,1974,October
-0.9674468011290486,1974,November
-0.8941117154849607,1974,December
-0.7530976967155695,1975,January
-0.688413375244636,1975,February
-0.7391595281001997,1975,March
-0.8345089806555137,1975,April
-0.7847325644804016,1975,May
-0.6871144305764574,1975,June
-0.6893647691232416,1975,July
-0.7223910817849344,1975,August
-0.595471148972004,1975,September
-0.4412674901452192,1975,October
-0.34403103539389973,1975,November
-0.28089817982921944,1975,December
-0.2543186413915862,1976,January
-0.31574692548119854,1976,February
-0.4033350962823278,1976,March
-0.4589926055770917,1976,April
-0.44598027852938743,1976,May
-0.37161473686617796,1976,June
-0.26050130386130943,1976,July
-0.16963870707649562,1976,August
-0.07199647255467596,1976,September
-0.0423933633438196,1976,October
0.021221090239995986,1976,November
0.12762349275543555,1976,December
0.18129735328488436,1977,January
0.21346953686808376,1977,February
0.24136430486167626,1977,March
0.3280366527303613,1977,April
0.4980976499862891,1977,May
0.7558630675895301,1977,June
0.854060817366124,1977,July
0.7477700096254665,1977,August
0.6211288198335012,1977,September
0.590029298572901,1977,October
0.6498659786878591,1977,November
0.7144569853538997,1977,December
0.6182161549799048,1978,January
0.47835478387834485,1978,February
0.46792097977787817,1978,March
0.5273829795244325,1978,April
0.5966416612517748,1978,May
0.6221848294393141,1978,June
0.6122711769543188,1978,July
0.6156216727222528,1978,August
0.6550195670865862,1978,September
0.7001894613252488,1978,October
0.7293799277949816,1978,November
0.702997538371946,1978,December
0.6915249699497181,1979,January
0.7125846975377328,1979,February
0.798469626405786,1979,March
0.9432667738170387,1979,April
1.0556797864601344,1979,May
1.0802829358141146,1979,June
1.037167613223908,1979,July
1.0314103364044591,1979,August
1.0605323380305578,1979,September
1.0565532793008185,1979,October
1.0359716612642285,1979,November
0.9919626008531047,1979,December
0.998029765038752,1980,January
1.0005101388099695,1980,February
1.057778730175341,1980,March
1.1457242989315077,1980,April
1.2346421305783395,1980,May
1.221315897380815,1980,June
1.184593565323091,1980,July
1.2262316658967307,1980,August
1.2268244650250892,1980,September
1.1689457128206513,1980,October
1.1289487706871228,1980,November
1.0427116116529505,1980,December
0.9761124822219841,1981,January
1.0069656039944874,1981,February
1.0056936566463093,1981,March
0.9843705664886698,1981,April
0.9012946076551287,1981,May
0.8242520406805056,1981,June
0.695390201780242,1981,July
0.6523982406560862,1981,August
0.698863333071077,1981,September
0.7343236260896561,1981,October
0.6851721279204014,1981,November
0.7069060921014113,1981,December
0.8915101161719349,1982,January
0.9368983893605843,1982,February
0.941082039099905,1982,March
1.0802084999463033,1982,April
1.2471973605915365,1982,May
1.2488852228153804,1982,June
1.2392465808809277,1982,July
1.2702742077394986,1982,August
1.2603077130294422,1982,September
1.1496977301168783,1982,October
1.0877765429990744,1982,November
1.141504028983104,1982,December
1.1624405644513842,1983,January
1.1629137090929476,1983,February
1.106010613297815,1983,March
1.0978359991656306,1983,April
1.1291872747839817,1983,May
1.1360135967910652,1983,June
1.1158646384103748,1983,July
1.1552825334180512,1983,August
1.2556109352447096,1983,September
1.3566582467335764,1983,October
1.417251779563702,1983,November
1.4500771467596452,1983,December
1.5093686023343025,1984,January
1.5774595907617368,1984,February
1.6562090235113716,1984,March
1.6926520678338306,1984,April
1.5512015927161769,1984,May
1.4636669703692973,1984,June
1.609986863003337,1984,July
1.7954384529032155,1984,August
1.8585260984750562,1984,September
1.8501302222774256,1984,October
1.8490981514985605,1984,November
1.8628697998325152,1984,December
1.8026266187200577,1985,January
1.6999040668666452,1985,February
1.5799510317443037,1985,March
1.517093305534047,1985,April
1.4826121537105337,1985,May
1.4833374735262055,1985,June
1.4830397582633963,1985,July
1.5335230189832145,1985,August
1.6018420107533644,1985,September
1.7696589644807659,1985,October
1.8028512872652982,1985,November
1.7037750683776154,1985,December
1.6879277411428348,1986,January
1.8932372046604087,1986,February
2.063482954605752,1986,March
2.1033893446860814,1986,April
2.0920773111199424,1986,May
2.1809862999436063,1986,June
2.2651683982705664,1986,July
2.325329812148948,1986,August
2.345386832986469,1986,September
2.27374713177021,1986,October
2.218362910287715,1986,November
2.2439854024543138,1986,December
2.3589605087497603,1987,January
2.4392943325014813,1987,February
2.4207769975960445,1987,March
2.4200554814696487,1987,April
2.4681723561694526,1987,May
2.5223325922323965,1987,June
2.542213768935812,1987,July
2.6139445496667806,1987,August
2.7140236155898037,1987,September
2.8862583404195674,1987,October
3.088995615422232,1987,November
3.2538202399766534,1987,December
3.243923478297552,1988,January
3.2179887290598344,1988,February
3.269306303022404,1988,March
3.373939910297645,1988,April
3.500874478305195,1988,May
3.5596711416816107,1988,June
3.6174737828597925,1988,July
3.6426039252374722,1988,August
3.758482921863447,1988,September
3.799420168484289,1988,October
3.661673379980266,1988,November
3.4303665946640876,1988,December
3.2383944908023294,1989,January
3.075425592900365,1989,February
3.079491122490026,1989,March
3.1243857059690754,1989,April
3.0417750486462865,1989,May
3.00330266778019,1989,June
3.003103180941571,1989,July
2.919923902540586,1989,August
2.8761161247872225,1989,September
2.93038541405067,1989,October
2.960053453464616,1989,November
3.026493899567504,1989,December
3.1081475840779147,1990,January
3.251422971085822,1990,February
3.396408171645908,1990,March
3.568538358516071,1990,April
3.7015447140101516,1990,May
3.691707915244433,1990,June
3.788456047790942,1990,July
3.9017946895014575,1990,August
3.927208060334533,1990,September
3.868950290837984,1990,October
3.8154070298395255,1990,November
3.8141337900267445,1990,December
3.8383762165444297,1991,January
3.8891159338110812,1991,February
4.036966823397279,1991,March
4.158650617334388,1991,April
4.1257926106125975,1991,May
3.986887254219391,1991,June
3.8593130344952895,1991,July
3.6997806253483305,1991,August
3.6210827264383623,1991,September
3.5835294196202083,1991,October
3.530825790250719,1991,November
3.4831119500198837,1991,December
3.3788359652100555,1992,January
