age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,year,day,month
34,blue-collar,married,secondary,no,243,yes,no,unknown,291,1,-1,0,unknown,2026,5,may
29,admin.,single,secondary,no,43,yes,no,unknown,179,2,-1,0,unknown,2026,9,may
59,blue-collar,married,primary,no,99,yes,no,cellular,43,1,261,3,failure,2026,5,feb
52,admin.,single,secondary,no,1964,no,yes,unknown,332,1,-1,0,unknown,2026,28,may
31,admin.,single,tertiary,no,701,yes,no,unknown,301,2,-1,0,unknown,2026,23,may
30,unemployed,divorced,tertiary,no,1718,yes,no,cellular,73,4,126,2,failure,2025,21,nov
50,services,married,secondary,no,2420,yes,no,cellular,102,6,235,13,failure,2026,20,apr
39,services,divorced,secondary,no,282,yes,no,cellular,243,1,-1,0,unknown,2026,17,jul
56,technician,married,secondary,no,803,no,no,cellular,432,2,-1,0,unknown,2025,18,nov
27,student,single,secondary,no,253,no,no,cellular,242,2,-1,0,unknown,2026,25,may
52,admin.,divorced,secondary,no,131,yes,yes,unknown,145,1,-1,0,unknown,2026,13,may
55,management,divorced,tertiary,no,9756,yes,no,cellular,103,2,95,1,other,2026,5,jun
37,unknown,single,unknown,no,414,yes,no,unknown,131,1,-1,0,unknown,2026,7,may
39,blue-collar,married,primary,no,-50,yes,no,cellular,100,1,-1,0,unknown,2026,15,may
42,services,married,secondary,no,115,yes,yes,cellular,161,1,149,2,failure,2026,17,apr
30,management,married,secondary,no,-397,yes,no,unknown,141,3,-1,0,unknown,2026,27,may
56,retired,married,primary,no,842,no,yes,unknown,108,1,-1,0,unknown,2026,5,jun
53,blue-collar,married,primary,no,896,yes,no,unknown,106,1,-1,0,unknown,2026,14,may
61,technician,married,secondary,no,1191,no,no,cellular,214,4,-1,0,unknown,2026,21,may
59,technician,divorced,tertiary,no,3331,yes,no,cellular,43,3,-1,0,unknown,2026,24,jul
39,blue-collar,married,secondary,no,167,yes,yes,cellular,612,1,-1,0,unknown,2026,12,may
51,blue-collar,married,secondary,no,-92,yes,no,unknown,28,4,-1,0,unknown,2026,4,jun
35,technician,single,tertiary,no,670,yes,no,unknown,106,1,-1,0,unknown,2026,9,may
46,services,married,secondary,no,2019,yes,no,unknown,357,1,-1,0,unknown,2026,8,may
57,services,married,primary,no,1896,no,no,cellular,248,4,-1,0,unknown,2026,29,jul
44,self-employed,married,secondary,no,335,no,no,cellular,105,1,-1,0,unknown,2026,2,feb
32,management,married,tertiary,no,1900,no,no,cellular,121,16,-1,0,unknown,2026,25,aug
42,technician,single,secondary,no,2646,yes,no,cellular,280,4,-1,0,unknown,2026,23,jul
57,technician,married,unknown,no,1617,yes,no,unknown,96,2,-1,0,unknown,2026,7,may
59,blue-collar,married,secondary,no,12928,no,no,cellular,66,2,-1,0,unknown,2026,8,aug
35,blue-collar,married,secondary,no,-518,yes,no,cellular,46,5,-1,0,unknown,2026,31,jul
32,management,divorced,secondary,no,-352,no,yes,cellular,275,5,-1,0,unknown,2026,6,aug
43,management,single,secondary,no,-228,yes,yes,unknown,122,2,-1,0,unknown,2026,16,may
55,services,married,secondary,no,557,no,no,unknown,58,1,-1,0,unknown,2026,19,jun
58,technician,married,secondary,no,683,no,no,unknown,157,2,-1,0,unknown,2026,20,jun
53,technician,married,secondary,no,6831,no,no,cellular,1130,2,-1,0,unknown,2026,13,may
43,management,married,secondary,no,392,no,no,unknown,332,5,-1,0,unknown,2026,17,jun
57,management,married,secondary,no,139,no,no,cellular,80,1,-1,0,unknown,2026,17,aug
54,management,single,tertiary,no,2081,no,no,cellular,395,2,108,1,failure,2025,1,oct
38,blue-collar,married,secondary,no,4321,no,no,cellular,252,1,85,6,failure,2026,18,may
59,housemaid,married,secondary,no,0,no,no,telephone,153,1,-1,0,unknown,2026,5,jun
55,unknown,married,tertiary,no,0,no,no,unknown,409,3,-1,0,unknown,2026,16,may
51,retired,married,secondary,no,1295,no,yes,unknown,288,2,-1,0,unknown,2026,20,jun
30,management,married,secondary,yes,471,yes,no,cellular,73,4,-1,0,unknown,2026,26,aug
46,blue-collar,married,primary,no,7982,no,no,cellular,263,5,-1,0,unknown,2026,8,aug
55,blue-collar,married,unknown,no,23,no,no,cellular,123,2,-1,0,unknown,2026,13,aug
