ocean_variation,year,month_name
-2.601415236894752,2001,January
-3.2730122851394725,2001,February
-3.306921687165982,2001,March
-3.505716174897131,2001,April
-4.134985284648124,2001,May
-5.029276519981067,2001,June
-6.103204053209495,2001,July
-7.237053126690412,2001,August
-7.970780719874966,2001,September
-8.952183517704768,2001,October
-9.674468011290486,2001,November
-8.941117154849607,2001,December
-7.530976967155695,2002,January
-6.88413375244636,2002,February
-7.391595281001997,2002,March
-8.345089806555137,2002,April
-7.847325644804016,2002,May
-6.871144305764574,2002,June
-6.893647691232417,2002,July
-7.223910817849344,2002,August
-5.95471148972004,2002,September
-4.412674901452192,2002,October
-3.4403103539389974,2002,November
-2.8089817982921943,2002,December
-2.543186413915862,2003,January
-3.1574692548119856,2003,February
-4.0333509628232775,2003,March
-4.589926055770917,2003,April
-4.459802785293874,2003,May
-3.7161473686617796,2003,June
-2.6050130386130945,2003,July
-1.6963870707649562,2003,August
-0.7199647255467596,2003,September
-0.423933633438196,2003,October
0.21221090239995988,2003,November
1.2762349275543556,2003,December
1.8129735328488437,2004,January
2.1346953686808376,2004,February
2.4136430486167626,2004,March
3.280366527303613,2004,April
4.980976499862891,2004,May
7.5586306758953015,2004,June
8.54060817366124,2004,July
7.477700096254665,2004,August
6.211288198335012,2004,September
5.90029298572901,2004,October
6.498659786878591,2004,November
7.1445698535389965,2004,December
6.182161549799048,2005,January
4.7835478387834485,2005,February
4.679209797778782,2005,March
5.273829795244325,2005,April
5.966416612517747,2005,May
6.221848294393141,2005,June
6.122711769543187,2005,July
6.156216727222528,2005,August
6.550195670865861,2005,September
7.001894613252489,2005,October
7.293799277949816,2005,November
7.02997538371946,2005,December
6.915249699497181,2006,January
7.125846975377328,2006,February
7.98469626405786,2006,March
9.432667738170387,2006,April
10.556797864601343,2006,May
10.802829358141146,2006,June
10.371676132239081,2006,July
10.314103364044591,2006,August
10.605323380305578,2006,September
10.565532793008185,2006,October
10.359716612642284,2006,November
9.919626008531047,2006,December
9.98029765038752,2007,January
10.005101388099696,2007,February
10.57778730175341,2007,March
11.457242989315077,2007,April
12.346421305783394,2007,May
12.213158973808149,2007,June
11.84593565323091,2007,July
12.262316658967308,2007,August
12.268244650250892,2007,September
11.689457128206513,2007,October
11.289487706871228,2007,November
10.427116116529504,2007,December
9.761124822219841,2008,January
10.069656039944874,2008,February
10.056936566463094,2008,March
9.843705664886699,2008,April
9.012946076551287,2008,May
8.242520406805056,2008,June
6.95390201780242,2008,July
6.523982406560862,2008,August
6.988633330710769,2008,September
7.3432362608965605,2008,October
6.851721279204014,2008,November
7.069060921014113,2008,December
8.915101161719349,2009,January
9.368983893605844,2009,February
9.41082039099905,2009,March
10.802084999463034,2009,April
12.471973605915366,2009,May
12.488852228153803,2009,June
12.392465808809277,2009,July
12.702742077394987,2009,August
12.603077130294423,2009,September
11.496977301168783,2009,October
10.877765429990745,2009,November
11.41504028983104,2009,December
11.624405644513843,2010,January
11.629137090929476,2010,February
11.060106132978149,2010,March
10.978359991656305,2010,April
11.291872747839818,2010,May
11.36013596791065,2010,June
11.158646384103747,2010,July
11.552825334180511,2010,August
12.556109352447095,2010,September
13.566582467335763,2010,October
14.17251779563702,2010,November
14.50077146759645,2010,December
15.093686023343025,2011,January
15.774595907617368,2011,February
16.562090235113715,2011,March
16.926520678338306,2011,April
15.51201592716177,2011,May
14.636669703692974,2011,June
16.09986863003337,2011,July
17.954384529032154,2011,August
18.585260984750562,2011,September
18.501302222774257,2011,October
18.490981514985606,2011,November
18.62869799832515,2011,December
18.026266187200576,2012,January
16.999040668666453,2012,February
15.799510317443037,2012,March
15.17093305534047,2012,April
14.826121537105337,2012,May
14.833374735262055,2012,June
14.830397582633964,2012,July
15.335230189832146,2012,August
16.018420107533643,2012,September
17.69658964480766,2012,October
18.028512872652982,2012,November
17.037750683776153,2012,December
16.879277411428347,2013,January
18.932372046604087,2013,February
20.634829546057517,2013,March
21.033893446860816,2013,April
20.920773111199424,2013,May
21.809862999436064,2013,June
22.651683982705663,2013,July
23.25329812148948,2013,August
23.45386832986469,2013,September
22.737471317702102,2013,October
22.18362910287715,2013,November
22.439854024543138,2013,December
23.589605087497603,2014,January
24.392943325014812,2014,February
24.207769975960446,2014,March
24.20055481469649,2014,April
24.681723561694525,2014,May
25.223325922323966,2014,June
25.422137689358124,2014,July
26.139445496667804,2014,August
27.140236155898037,2014,September
28.862583404195675,2014,October
30.889956154222318,2014,November
32.53820239976653,2014,December
32.43923478297552,2015,January
32.179887290598344,2015,February
32.69306303022404,2015,March
33.73939910297645,2015,April
35.00874478305195,2015,May
35.596711416816106,2015,June
36.17473782859793,2015,July
36.42603925237472,2015,August
37.58482921863447,2015,September
37.99420168484289,2015,October
36.61673379980266,2015,November
34.303665946640876,2015,December
32.383944908023295,2016,January
30.754255929003648,2016,February
30.79491122490026,2016,March
31.243857059690754,2016,April
30.417750486462865,2016,May
30.0330266778019,2016,June
30.03103180941571,2016,July
29.19923902540586,2016,August
28.761161247872224,2016,September
29.3038541405067,2016,October
29.600534534646158,2016,November
30.26493899567504,2016,December
31.08147584077915,2017,January
32.51422971085822,2017,February
33.96408171645908,2017,March
35.68538358516071,2017,April
37.015447140101514,2017,May
36.91707915244433,2017,June
37.88456047790942,2017,July
39.017946895014575,2017,August
39.27208060334533,2017,September
38.689502908379836,2017,October
38.154070298395254,2017,November
38.141337900267445,2017,December
38.383762165444296,2018,January
38.89115933811081,2018,February
40.36966823397279,2018,March
41.58650617334388,2018,April
41.25792610612598,2018,May
39.86887254219391,2018,June
38.5931303449529,2018,July
36.997806253483304,2018,August
36.210827264383624,2018,September
35.835294196202085,2018,October
35.308257902507194,2018,November
34.83111950019884,2018,December
33.78835965210055,2019,January
32.33335822201434,2019,February
31.797295101445343,2019,March
32.272486945189485,2019,April
32.40681204004932,2019,May
33.21060723020946,2019,June
33.40307011833829,2019,July
32.84619616673717,2019,August
32.268764770037706,2019,September
30.40243416064004,2019,October
29.7733359804879,2019,November
30.46762350385552,2019,December
30.36062506096323,2020,January
30.881337983206322,2020,February
32.18381240585359,2020,March
33.34455500618151,2020,April
33.4736596689263,2020,May
33.32880493349694,2020,June
32.50475224180218,2020,July
32.17396332906674,2020,August
32.112997859259394,2020,September
32.072199877015464,2020,October
32.723738741213765,2020,November
33.61913929607226,2020,December
34.243926518917306,2021,January
34.68461017573236,2021,February
34.56342231248664,2021,March
34.79135552434991,2021,April
36.15879870552453,2021,May
37.81568408107978,2021,June
39.22000811241105,2021,July
39.51154529406085,2021,August
38.83632316859985,2021,September
37.45380638385723,2021,October
37.220458420541036,2021,November
37.5127298333673,2021,December
38.3595171627494,2022,January
38.590198395903826,2022,February
38.116350546839385,2022,March
37.79832541943233,2022,April
38.3761695128951,2022,May
39.03920043805101,2022,June
39.376666678926995,2022,July
39.52289356167876,2022,August
39.75430157333085,2022,September
39.29430162777862,2022,October
38.72826934486511,2022,November
38.42234736859518,2022,December
38.27566411345924,2023,January
38.44649205650421,2023,February
38.254563212954054,2023,March
37.8505886330413,2023,April
37.45465095859436,2023,May
37.489586729733674,2023,June
38.131400459416,2023,July
38.09263433005344,2023,August
37.997144406310326,2023,September
39.403079304856874,2023,October
40.00188380234249,2023,November
39.10528058273303,2023,December
37.75876125523064,2024,January
36.93533233629387,2024,February
37.58478297288457,2024,March
38.41746355267878,2024,April
38.221004932082906,2024,May
38.11043076923852,2024,June
38.03966292271343,2024,July
38.569536653144496,2024,August
39.32752861750396,2024,September
40.580122379075874,2024,October
41.166163495183355,2024,November
42.97259471378857,2024,December
45.362468883467045,2025,January
47.131113765510236,2025,February
47.9079544001188,2025,March
47.83070144920657,2025,April
47.160362567924494,2025,May
46.58435454420305,2025,June
45.88761345774674,2025,July
45.48613071850832,2025,August
44.89192189464302,2025,September
44.707735103947925,2025,October
45.4006248724927,2025,November
45.64463485608303,2025,December
